Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
Argentina,Parque Eólico Necochea,Wind,Necochea. Buenos Aires,0.25,Operational,2009,SEA ENERGY,Private,La Plata (Argentina),https://www.nuestromar.org/antiguas/sea-energy-coloco-el-primer-molino-frente-al-mar/,-38.60425,-58.79047
Argentina,Terrazas del Portezuelo,Solar,San Luis,1,Operational,2014,Energía San Luis SAPEM,State,San Luis (Argentina),http://agenciasanluis.com/notas/2014/10/20/parque-fotovoltaico-san-luis-producira-energia-limpia-a-gran-escala/,-33.30281812,-66.28484131
Argentina,Parque Solar Pasip,Solar,San Martín. Mendoza,1.15,Operational,2019,Empresa Mendocina de Energía SAPEM,State,Mendoza (Argentina),http://webcache.googleusercontent.com/search?q=cache:r1uFqQwg9ucJ:emesa.com.ar/wp-content/uploads/2017/07/fichaTec_parquesolar_PASIP_B.pdf+&cd=1&hl=es-419&ct=clnk&gl=ar,-33.0379,-68.5419
Argentina,Planta Piloto Fotovoltaica San Juan I,Solar,Ullum. San Juan,1.2,Operational,2011,EPSE - Energía Provincial Sociedad del Estado,State,San Juan (Argentina),https://www.epsesanjuan.com.ar/index.php/web/proyecto/planta-fotovoltaica-san-juan-i-/6#:~:text=Al%20ser%20concebida%20como%20planta.silicio%20que%20se%20utilizan%20actualmente.&text=Cuenta%20con%20un%20total%20de.operaci%C3%B3n%20en%20marzo%20de%202011.,-31.3891,-68.6752
Argentina,Parque Solar Las Lomitas,Solar,San Juan,1.7,Operational,2018,Latinoamericana de Energía S.A.,Private,Pilar (Argentina),https://www.pv-magazine-latam.com/2018/10/25/se-inauguro-el-parque-solar-las-lomitas-en-san-juan-argentina/,-31.40687,-68.47775
Argentina,Punta Alta - Centenario,Wind,Punta Alta. Buenos Aires,1.8,Operational,1995,CLFE Cooperativa Electrica de Punta Alta,Private,Buenos Aires (Argentina),http://wikimapia.org/15116001/es/Parque-e%C3%B3lico-Centenario,-38.7833,-61.8984
Argentina,Chimbera I,Solar,La Chimbera. San Juan,2,Operational,2012,360 Energy,Private,Pilar (Argentina),https://www.clarin.com/rural/cambios-matriz-energetica-argentina-petroleo-gas-renovables_0_QBJ7srnDD.html,-31.9881,-68.5402
Argentina,Parque Solar Cañada Honda I,Solar,Sarmiento. San Juan,2,Operational,2012,360 Energy,Private,Pilar (Argentina),http://enernews.com/nota/235632/san-juan-renovable-cristina-inauguro-la-primera-etapa-del-parque-solar-de-emgasud-en-canada-honda,-31.98503293,-68.53957053
Argentina,Parque Solar de Chepes,Solar,La Rioja,2,Operational,2018,Ledlar SAPEM,State,La Rioja (Argentina),https://www.energiaestrategica.com/100-industria-nacional-con-paneles-de-ledlar-se-inauguro-un-parque-solar-en-la-rioja/#:~:text=El%20Parque%20Solar%20de%20Chepes.Megawatts%2C%20albergando%208%20mil%20paneles.,-31.34983,-66.65683
Argentina,Parque Eólico Mayor Buratovich,Wind,Mayor Buratovich. Buenos Aires.,2.2,Operational,1997,Cooperativa Eléctrica de Mayor Buratovich,Private,Buenos Aires (Argentina),https://www.thewindpower.net/windfarm_es_2580_mayor-buratovich.php,-39.2291,-62.6497
